outcome,event_time,att,se,lo,hi
log Employees,0,0.28704434177333343,0.07834342566934695,0.13349122746141343,0.44059745608525347
log Employees,1,0.5981268663417606,0.20717853369777464,0.1920569402941223,1.0041967923893989
log Employees,2,0.630321335485091,0.21154733615226354,0.21568855662665443,1.0449541143435275
log Employees,3,0.533119242793029,0.04994852062068088,0.43522014237649453,0.6310183432095635
log Population,0,0.08606049386867112,0.013882543727457845,0.058850708162853746,0.1132702795744885
log Population,1,0.17110765216418886,0.03031272688385845,0.1116947074718263,0.2305205968565514
log Population,2,0.22090233065219514,0.04407393584895086,0.13451741638825143,0.30728724491613885
log Population,3,0.12685384262604715,0.06674061570112445,-0.003957764148156767,0.25766544940025105
log Local units,0,0.2754712793613781,0.055744832582963325,0.16621140749877,0.3847311512239862
log Local units,1,0.37629009621020065,0.08319479908115206,0.21322829001114263,0.5393519024092587
log Local units,2,0.5180053367911643,0.09351917126866437,0.3347077611045822,0.7013029124777465
log Local units,3,0.3955074195409322,0.171146306411467,0.06006065897445689,0.7309541801074075
