cohort,outcome,pre_year,post_year,estimate,se,lo,hi,p,n_tr,n_ct,event_time
A,lP1,1951,1961,-0.05488729028129387,0.012240756892986804,-0.078879173791548,-0.030895406771039732,1.3123003040238005e-4,3,36,0
A,lP1,1951,1971,-0.028543335492502573,0.036241377511682805,-0.09957643541540087,0.04248976443039573,0.43805820738598367,3,36,1
A,lP1,1951,1981,0.05757706123521084,0.0632993711594099,-0.06648970623723255,0.18164382870765425,0.3713893682547338,3,36,2
A,lP1,1951,1991,0.12685384262604715,0.06674061570112445,-0.003957764148156767,0.25766544940025105,0.06848228531126331,3,36,3
B,lP1,1961,1971,0.12834482911366063,0.02016569593922883,0.08882006507277213,0.16786959315454913,3.313134090864831e-7,10,36,0
B,lP1,1961,1981,0.23100294846119626,0.0434155330074407,0.1459085037666125,0.31609739315578,7.159597955971703e-6,10,36,1
B,lP1,1961,1991,0.2698999114772904,0.06224197004616825,0.14790565018680066,0.39189417276778016,1.2833609765319673e-4,10,36,2
A,lUT,1951,1961,0.041929960341568887,0.037932208712419334,-0.032417168734773,0.11627708941791078,0.2791139997786225,3,36,0
A,lUT,1951,1971,0.11877211520185692,0.11316301726988966,-0.1030273986471268,0.34057162905084065,0.30357599373609856,3,36,1
A,lUT,1951,1981,0.35224029543655944,0.27674031992364223,-0.1901707316137793,0.8946513224868982,0.21434668440628324,3,36,2
A,lUT,1951,1991,0.39550741954093216,0.171146306411467,0.06006065897445684,0.7309541801074075,0.029026120734460856,3,36,3
B,lUT,1961,1971,0.34553367506732086,0.08151578707802225,0.18576273239439725,0.5053046177402445,1.6997686645745303e-4,10,36,0
B,lUT,1961,1981,0.45354549051270376,0.11805112643371017,0.22216528270263183,0.6849256983227757,5.257395757529126e-4,10,36,1
B,lUT,1961,1991,0.5677348491975458,0.11033246457949705,0.3514832186217316,0.78398647977336,1.2005796532837185e-5,10,36,2
A,lAT,1951,1961,0.1803238257973246,0.09410518847140957,-0.004122343606638157,0.36476999520128733,0.06639624881373685,3,36,0
A,lAT,1951,1971,0.4246688611252355,0.11161434161946551,0.2059047515510831,0.6434329706993879,7.762471530833623e-4,3,36,1
A,lAT,1951,1981,0.5349898302026352,0.0394885297765848,0.45759231184052906,0.6123873485647414,2.721743707973664e-13,3,36,2
A,lAT,1951,1991,0.533119242793029,0.04994852062068088,0.43522014237649453,0.6310183432095635,5.365641359549024e-11,3,36,3
B,lAT,1961,1971,0.31906049656613605,0.11217463406971719,0.09919821378949037,0.5389227793427818,0.007585443965363618,10,36,0
B,lAT,1961,1981,0.6501642679067182,0.3040572663264035,0.05421202590696739,1.246116509906469,0.03998807506442094,10,36,1
B,lAT,1961,1991,0.6589207870698277,0.3121211615473172,0.04716331043708599,1.2706782637025693,0.042422940648400874,10,36,2
