cohort,band,outcome,pre_year,post_year,estimate,se,lo,hi,p,n_tr,n_ct
A,A - Polo,lP1,1951,1991,1.0580588271640434,0.19342066717272502,0.6789543195055023,1.4371633348225845,6.92676765930829e-8,6,561
A,B - Polo intercomunale,lP1,1951,1991,NA,NA,NA,NA,NA,1,NA
A,C - Cintura,lP1,1951,1991,0.2493720713276242,0.4684402164819595,-0.6687707529770164,1.1675148956322647,0.5947081036194592,8,561
A,D - Intermedio,lP1,1951,1991,-0.007298347052883449,0.04639724136864127,-0.09823694013542034,0.08364024602965345,0.8750675178109153,2,561
A,E - Periferico,lP1,1951,1991,-0.1724663532749159,8.108226024750877e-17,-0.17246635327491608,-0.17246635327491575,0,2,561
A,F - Ultraperiferico,lP1,1951,1991,NA,NA,NA,NA,NA,0,NA
B,A - Polo,lP1,1961,1991,0.26888364406875387,0.1923573661601143,-0.10813679360507017,0.6459040817425779,0.16272645333099545,6,561
B,B - Polo intercomunale,lP1,1961,1991,NA,NA,NA,NA,NA,1,NA
B,C - Cintura,lP1,1961,1991,0.42809821016435473,0.07322064026889483,0.2845857552373209,0.5716106650913886,8.524774675931292e-9,16,561
B,D - Intermedio,lP1,1961,1991,0.248024780941019,0.040428758271559076,0.1687844147287632,0.3272651471532748,1.621381269141031e-9,11,561
B,E - Periferico,lP1,1961,1991,NA,NA,NA,NA,NA,0,NA
B,F - Ultraperiferico,lP1,1961,1991,NA,NA,NA,NA,NA,0,NA
A,A - Polo,lUT,1951,1991,0.5288157212547068,0.2634991992870103,0.012357290652166508,1.045274151857247,0.04525041477645607,6,561
A,B - Polo intercomunale,lUT,1951,1991,NA,NA,NA,NA,NA,1,NA
A,C - Cintura,lUT,1951,1991,0.34514330113819536,0.44850436889330975,-0.5339252618926917,1.2242118641690825,0.4419009194806294,8,561
A,D - Intermedio,lUT,1951,1991,0.1060370832598619,0.33992760899978214,-0.560221030379711,0.7722951968994349,0.7552052787950716,2,561
A,E - Periferico,lUT,1951,1991,0.1397416321213634,6.039407657104623e-16,0.1397416321213622,0.1397416321213646,0,2,561
A,F - Ultraperiferico,lUT,1951,1991,NA,NA,NA,NA,NA,0,NA
B,A - Polo,lUT,1961,1991,0.07272668585381295,0.21897460597050916,-0.356463541848385,0.5019169135560109,0.739922515334027,6,561
B,B - Polo intercomunale,lUT,1961,1991,NA,NA,NA,NA,NA,1,NA
B,C - Cintura,lUT,1961,1991,0.6718491907712529,0.30982744279737434,0.06458740288839926,1.2791109786541066,0.030544557277455496,16,561
B,D - Intermedio,lUT,1961,1991,0.41932452040834717,0.06929074808362658,0.2835146541644391,0.5551343866522552,2.6422075871179517e-9,11,561
B,E - Periferico,lUT,1961,1991,NA,NA,NA,NA,NA,0,NA
B,F - Ultraperiferico,lUT,1961,1991,NA,NA,NA,NA,NA,0,NA
A,A - Polo,lAT,1951,1991,0.6248622316444433,0.4760513000385305,-0.30819831643107654,1.5579227797199633,0.1898681391835015,6,561
A,B - Polo intercomunale,lAT,1951,1991,NA,NA,NA,NA,NA,1,NA
A,C - Cintura,lAT,1951,1991,0.7397140773433728,0.21834190739269055,0.31176393885369935,1.1676642158330464,7.546946674338263e-4,8,561
A,D - Intermedio,lAT,1951,1991,0.23741020598355594,0.03699804868526753,0.1648940305604316,0.3099263814066803,3.025251568514044e-10,2,561
A,E - Periferico,lAT,1951,1991,-0.08356879479034393,1.7347234759768603e-15,-0.08356879479034733,-0.08356879479034053,0,2,561
A,F - Ultraperiferico,lAT,1951,1991,NA,NA,NA,NA,NA,0,NA
B,A - Polo,lAT,1961,1991,-0.0877549208485988,0.26988545646826595,-0.6167304155264001,0.44122057382920243,0.7451867548971478,6,561
B,B - Polo intercomunale,lAT,1961,1991,NA,NA,NA,NA,NA,1,NA
B,C - Cintura,lAT,1961,1991,0.6801028713914574,0.34724109489234695,-4.896745975425665e-4,1.3606954173804575,0.05065767048651328,16,561
B,D - Intermedio,lAT,1961,1991,0.46397641589190564,0.2831642865176367,-0.09102558568266228,1.0189784174664736,0.10187655741377419,11,561
B,E - Periferico,lAT,1961,1991,NA,NA,NA,NA,NA,0,NA
B,F - Ultraperiferico,lAT,1961,1991,NA,NA,NA,NA,NA,0,NA
