cohort,outcome,pre_year,post_year,estimate,se,lo,hi,p,n_tr,n_ct,sample,event_time
A,lP1,1951,1961,0.15516295951315978,0.03367460012502682,0.08916074326810722,0.22116517575821235,4.540350547873768e-6,19,1141,tight,0
A,lP1,1951,1971,0.34290697003435766,0.07084247973993332,0.20405570974408835,0.48175823032462695,1.477949950417655e-6,19,1141,tight,1
A,lP1,1951,1981,0.33469061830718916,0.09788522345595789,0.1428355803335117,0.5265456562808666,6.507282514992386e-4,19,1141,tight,2
A,lP1,1951,1991,0.2828408732467937,0.12240656696385684,0.0429240019976343,0.522757744495953,0.021033017850491956,19,1141,tight,3
B,lP1,1961,1971,0.18173332033958445,0.03931671681518925,0.10467255538181351,0.25879408529735537,4.2210716281689375e-6,34,1141,tight,0
B,lP1,1961,1981,0.25903243277964877,0.03739364983124063,0.18574087911041715,0.3323239864488804,7.106048413538456e-12,34,1141,tight,1
B,lP1,1961,1991,0.25249973690559047,0.0389878460165553,0.17608355871314207,0.32891591509803886,1.3855957344648163e-10,34,1141,tight,2
B,lP1,1961,1951,-0.10898017928744318,0.01860760916073515,-0.14545109324248406,-0.07250926533240229,6.184095138747727e-9,34,1141,tight,-2
A,lUT,1951,1961,0.1365871267579637,0.022689841589292273,0.09211503724295084,0.18105921627297655,2.3509113272506394e-9,19,1141,tight,0
A,lUT,1951,1971,0.21837533315198135,0.042100885908699204,0.1358575967709309,0.3008930695330318,2.5273829637923553e-7,19,1141,tight,1
A,lUT,1951,1981,0.21708649197753682,0.09997090495802824,0.021143518259801486,0.41302946569527216,0.030098973727877353,19,1141,tight,2
A,lUT,1951,1991,0.19774338458829344,0.08877040983381049,0.02375338131402488,0.371733387862562,0.026102646638306456,19,1141,tight,3
B,lUT,1961,1971,0.1222361117042669,0.04434553053511353,0.035318871855444384,0.20915335155308942,0.00593513605121237,34,1141,tight,0
B,lUT,1961,1981,0.17190076184700784,0.050233235292084316,0.07344362067452258,0.2703579030194931,6.43218405744916e-4,34,1141,tight,1
B,lUT,1961,1991,0.4041678383611121,0.11069769788697387,0.1872003505026433,0.6211353262195809,2.7278850311060796e-4,34,1141,tight,2
B,lUT,1961,1951,-0.0478985804153804,0.038427799581997504,-0.12321706759609552,0.027419906765334713,0.2128491490796886,34,1141,tight,-2
A,lAT,1951,1961,0.28730016191966007,0.05778206792364803,0.1740473087893099,0.40055301505001023,7.635728009787443e-7,19,1141,tight,0
A,lAT,1951,1971,0.36705739070632565,0.0660400252245161,0.2376189412662741,0.4964958401463772,3.3928598302559815e-8,19,1141,tight,1
A,lAT,1951,1981,0.2765297683455549,0.07980583150388297,0.12011033859794432,0.43294919809316557,5.498432344316819e-4,19,1141,tight,2
A,lAT,1951,1991,0.23305691364827721,0.08958353531851786,0.05747318442398222,0.4086406428725722,0.009400110847981105,19,1141,tight,3
B,lAT,1961,1971,0.21510208827791863,0.117254398678773,-0.01471653313247645,0.4449207096883137,0.06683786694514689,34,1141,tight,0
B,lAT,1961,1981,0.18675623681893033,0.13434516447990394,-0.07656028556168137,0.45007275919954204,0.16475905033135704,34,1141,tight,1
B,lAT,1961,1991,0.4148632284887745,0.11655995919702426,0.18640570846260696,0.643320748514942,3.8702832921943446e-4,34,1141,tight,2
B,lAT,1961,1951,-0.14968585248156122,0.08463538223340175,-0.31557120165902863,0.0161994966959062,0.07722466542946146,34,1141,tight,-2
A,lP1,1951,1961,0.17741107538924678,0.04054058218826589,0.09795153430024564,0.25687061647824794,1.4481984481288062e-5,19,561,donut30,0
A,lP1,1951,1971,0.41248939912578386,0.09234453585696288,0.2314941088461366,0.5934846894054311,9.656030308094727e-6,19,561,donut30,1
A,lP1,1951,1981,0.43882873108945447,0.13445765271559432,0.1752917317668896,0.7023657304120193,0.001168632164579196,19,561,donut30,2
A,lP1,1951,1991,0.4180756457635502,0.1637024655090126,0.0972188133658855,0.738932478161215,0.010924120694883924,19,561,donut30,3
B,lP1,1961,1971,0.22082816370472283,0.04165525689145129,0.1391838601974783,0.30247246721196736,1.6385125044809574e-7,34,561,donut30,0
B,lP1,1961,1981,0.32711593013086165,0.04301956881431697,0.2427975752548004,0.4114342850069229,1.169434259958142e-13,34,561,donut30,1
B,lP1,1961,1991,0.33755500773347474,0.047223295042100356,0.24499734945095805,0.4301126660159914,2.667238928333911e-12,34,561,donut30,2
B,lP1,1961,1951,-0.15091188396783473,0.02650153894094625,-0.20285490029208936,-0.09896886764358008,2.0014646898548324e-8,34,561,donut30,-2
A,lUT,1951,1961,0.1341642064856806,0.03618974083916678,0.06323231444091369,0.20509609853044747,2.302890813237269e-4,19,561,donut30,0
A,lUT,1951,1971,0.2562855759884869,0.06931087454203023,0.12043626188610762,0.39213489009086616,2.3897403174186842e-4,19,561,donut30,1
A,lUT,1951,1981,0.2933742327499296,0.15246181104856452,-0.005450916905256897,0.592199382405116,0.054828196770139566,19,561,donut30,2
A,lUT,1951,1991,0.3029263308052215,0.1490605690412327,0.010767615484405468,0.5950850461260375,0.04259944472968484,19,561,donut30,3
B,lUT,1961,1971,0.1365305518615358,0.045447934010203646,0.047452601201536646,0.22560850252153491,0.002779140100369886,34,561,donut30,0
B,lUT,1961,1981,0.18886248456328023,0.06513447959984224,0.061198904547589444,0.31652606457897103,0.0038788760756163316,34,561,donut30,1
B,lUT,1961,1991,0.4711050639401603,0.134994647799004,0.20651555425411244,0.7356945736262082,5.202703613667422e-4,34,561,donut30,2
B,lUT,1961,1951,-0.07080567081102015,0.03947348273449667,-0.14817369697063362,0.006562355348593313,0.07337611858704117,34,561,donut30,-2
A,lAT,1951,1961,0.34429819829826097,0.062347047941516284,0.22209798433288908,0.46649841226363287,5.120239744171875e-8,19,561,donut30,0
A,lAT,1951,1971,0.5093642988215941,0.07931770068872153,0.3539016054716999,0.6648269921714882,2.8691468440330037e-10,19,561,donut30,1
A,lAT,1951,1981,0.4576727689478673,0.08424161228527868,0.2925592088687211,0.6227863290270135,8.271170016589077e-8,19,561,donut30,2
A,lAT,1951,1991,0.4527695566405822,0.07760372248606806,0.3006662605678888,0.6048728527132756,9.12311959736128e-9,19,561,donut30,3
B,lAT,1961,1971,0.22503740310476242,0.12288038816806827,-0.01580815770465141,0.4658829639141763,0.06756326405905845,34,561,donut30,0
B,lAT,1961,1981,0.20936785483515283,0.14365648161657094,-0.07219884913332622,0.4909345588036319,0.14554444250318072,34,561,donut30,1
B,lAT,1961,1991,0.4556470376040349,0.139305583322101,0.18260809429271696,0.7286859809153529,0.0011362171810690772,34,561,donut30,2
B,lAT,1961,1951,-0.21224527676765376,0.0805250159245984,-0.3700743079798666,-0.05441624555544089,0.008620503895716468,34,561,donut30,-2
A,lP1,1951,1961,0.2105766557166896,0.04373830775356017,0.12484957251971167,0.2963037389136675,2.6496649542909867e-6,19,241,donut45,0
A,lP1,1951,1971,0.528772312064878,0.10145087042152796,0.3299286060386831,0.7276160180910728,4.0991795669716413e-7,19,241,donut45,1
A,lP1,1951,1981,0.6293714907280162,0.1408189222626848,0.35336640309315404,0.9053765783628784,1.2226170531479552e-5,19,241,donut45,2
A,lP1,1951,1991,0.6643683593046774,0.1637136129941086,0.3434896778362245,0.9852470407731303,6.745822572318892e-5,19,241,donut45,3
B,lP1,1961,1971,0.2613137052209286,0.060209485063412886,0.14330311449663935,0.3793242959452179,2.0466401191176512e-5,34,241,donut45,0
B,lP1,1961,1981,0.38737331316467755,0.06735410332191716,0.2553592706537199,0.5193873556756352,2.498150576041024e-8,34,241,donut45,1
B,lP1,1961,1991,0.40962247786789036,0.0657734326748273,0.28070654982522886,0.5385384059105518,1.909853713581e-9,34,241,donut45,2
B,lP1,1961,1951,-0.16610193909593676,0.028391052390947417,-0.22174840178219368,-0.11045547640967983,1.542113781454213e-8,34,241,donut45,-2
A,lUT,1951,1961,0.07531649580748324,0.1122536642239371,-0.14470068607143344,0.29533367768639995,0.5028928178938841,19,241,donut45,0
A,lUT,1951,1971,0.12958575910205175,0.21886729187133078,-0.29939413296575657,0.55856565116986,0.5543533977549315,19,241,donut45,1
A,lUT,1951,1981,0.2085570334651841,0.2700755136853429,-0.3207909733580879,0.737905040288456,0.44073910055834753,19,241,donut45,2
A,lUT,1951,1991,0.2864141983178545,0.2532173779289318,-0.2098918624228518,0.7827202590585607,0.2591326372370522,19,241,donut45,3
B,lUT,1961,1971,0.18767701337153958,0.06232414754742935,0.06552168417857807,0.3098323425645011,0.0028605027593843926,34,241,donut45,0
B,lUT,1961,1981,0.3026480460117296,0.08611555010036705,0.1338615678150102,0.471434524208449,5.206195899277145e-4,34,241,donut45,1
B,lUT,1961,1991,0.6140828784879377,0.12201762546804608,0.37492833257056746,0.853237424405308,9.097950409963892e-7,34,241,donut45,2
B,lUT,1961,1951,-0.14091885481937685,0.04657879355942495,-0.23221329019584974,-0.04962441944290395,0.002735018527920572,34,241,donut45,-2
A,lAT,1951,1961,0.26805106563159664,0.056611554487217705,0.15709241883664993,0.37900971242654335,3.733518916768813e-6,19,241,donut45,0
A,lAT,1951,1971,0.41652937296525006,0.15238458863799054,0.11785557923478862,0.7152031666957115,0.006731104176205024,19,241,donut45,1
A,lAT,1951,1981,0.4325639684408349,0.14139126160245183,0.15543709570002934,0.7096908411816405,0.002467942246771926,19,241,donut45,2
A,lAT,1951,1991,0.49180250999584807,0.13082352350442406,0.23538840392717691,0.7482166160645192,2.1368666135182567e-4,19,241,donut45,3
B,lAT,1961,1971,0.24972433558772097,0.1303632855080618,-0.00578770400808018,0.5052363751835222,0.05652524784363844,34,241,donut45,0
B,lAT,1961,1981,0.32477289242400226,0.18421938215296854,-0.03629709659581609,0.6858428814438207,0.07909433079136256,34,241,donut45,1
B,lAT,1961,1991,0.5772468185550926,0.15229913480708818,0.2787405143331998,0.8757531227769855,1.8758233058425354e-4,34,241,donut45,2
B,lAT,1961,1951,-0.26434757216358096,0.09149087831781637,-0.443669693666501,-0.08502545066066089,0.004189976552282629,34,241,donut45,-2
