outcome,year,estimate,std.error,t,p
log Population,1951,-0.0952,0.0271,-3.51,5e-4
log Population,1971,0.1557,0.0397,3.92,1e-4
log Population,1981,0.1937,0.0643,3.01,0.0026
log Population,1991,0.1656,0.0862,1.92,0.0548
log Local units,1951,-0.0755,0.0339,-2.22,0.0263
log Local units,1971,0.1214,0.0438,2.78,0.0055
log Local units,1981,0.1457,0.0699,2.08,0.0372
log Local units,1991,0.2603,0.121,2.15,0.0316
log Employees,1951,-0.2011,0.0529,-3.8,1e-4
log Employees,1971,0.1758,0.0987,1.78,0.0749
log Employees,1981,0.1209,0.1168,1.04,0.3007
log Employees,1991,0.2317,0.1324,1.75,0.0802
Employment rate,1951,-0.0265,0.0097,-2.73,0.0064
Employment rate,1971,0.0098,0.0183,0.54,0.5907
Employment rate,1981,0.0161,0.0189,0.85,0.3927
Employment rate,1991,0.0249,0.0181,1.38,0.169
