row,Population,Units,Employees
macroNorth,0.4784***,0.5138***,0.3566***
macroNorth_SE,(0.0033),(0.0085),(0.0060)
macroSouth,0.4899***,0.3621***,0.2579***
macroSouth_SE,(0.0026),(0.0087),(0.0116)
treat_A1,0.2671***,0.4119***,0.4307***
treat_A1:macroNorth,-0.1471,-0.3643**,-0.5722***
treat_A1:macroNorth_SE,(0.1131),(0.1469),(0.0951)
treat_A1:macroSouth,-0.1018**,-0.1109,-0.0118
treat_A1:macroSouth_SE,(0.0510),(0.1697),(0.4674)
treat_A1_SE,(0.0379),(0.1264),(0.0913)
N,1194,1193,1193
R2,0.306,0.089,0.063
