row,Pop,Units,Emp
Aree_IntA - Polo,0.5310***,0.7082***,1.2294***
Aree_IntA - Polo_SE,(0.1273),(0.2216),(0.3090)
Aree_IntB - Polo intercomunale,0.8993***,0.8573**,1.1876***
Aree_IntB - Polo intercomunale_SE,(0.3464),(0.3385),(0.4467)
Aree_IntC - Cintura,0.6238***,0.5832***,1.0495***
Aree_IntC - Cintura_SE,(0.0573),(0.0770),(0.1447)
Aree_IntD - Intermedio,0.4603***,0.4076***,0.7439***
Aree_IntD - Intermedio_SE,(0.0570),(0.0891),(0.1557)
Aree_IntE - Periferico,0.2842***,0.2588***,0.4780***
Aree_IntE - Periferico_SE,(0.0651),(0.0647),(0.1130)
N,1174,1173,1173
R2,0.475,0.459,0.403
