cohort,ring,outcome,pre_year,post_year,estimate,se,lo,hi,p,n_tr,n_ct
A,R0 inner (casello),lP1,1951,1961,0.26688025651846486,0.05133692711589976,0.16625987937130132,0.3675006336656284,1.2254250459949887e-6,19,90
A,R0 inner (casello),lP1,1951,1971,0.6776821914646525,0.08377819796481116,0.5134769234536226,0.8418874594756823,2.5049036216724548e-12,19,90
A,R0 inner (casello),lP1,1951,1981,0.8413595119776206,0.1116027316230975,0.6226181579963495,1.0601008659588917,3.413338777187978e-11,19,90
A,R0 inner (casello),lP1,1951,1991,0.9317160288010291,0.1258504113316043,0.6850492225910847,1.1783828350109735,6.461648135188502e-11,19,90
B,R0 inner (casello),lP1,1961,1971,0.20951014872276189,0.06228465230675513,0.08743223020152183,0.3315880672440019,0.00106487335485809,34,90
B,R0 inner (casello),lP1,1961,1981,0.3410649511440006,0.09075013786684853,0.16319468092497746,0.5189352213630237,2.7790113960873293e-4,34,90
B,R0 inner (casello),lP1,1961,1991,0.37814261139050426,0.10685140529196523,0.16871385701825242,0.5875713657627561,5.937478488249592e-4,34,90
B,R0 inner (casello),lP1,1961,1951,-0.12638612383329711,0.04196953849212794,-0.20864641927786787,-0.04412582838872635,0.0032581757816146787,34,90
Spillover,R1 0-15 min (donut),lP1,1951,1961,0.10613973133912484,0.029420616741059797,0.048475322526647636,0.16380414015160205,3.803296364053097e-4,159,90
Spillover,R2 15-30 min (donut),lP1,1951,1961,0.06920707040286889,0.030162636449438632,0.010088302961969171,0.1283258378437686,0.022189382080813527,421,90
Spillover,R3 30-45 min (near control),lP1,1951,1961,0.012069489800200653,0.020780090634573672,-0.028659487843563744,0.05279846744396505,0.5617043516429755,320,90
Spillover,R4 45-60 min (control),lP1,1951,1961,-0.025232429868848362,0.029334206514569736,-0.08272747463740504,0.03226261489970832,0.3907095835171239,135,90
Spillover,R1 0-15 min (donut),lP1,1951,1971,0.32522115156647635,0.06738206408642619,0.19315230595708102,0.4572899971758717,2.55761512940758e-6,159,90
Spillover,R2 15-30 min (donut),lP1,1951,1971,0.23724730906616032,0.06774504765267868,0.1044670156669101,0.37002760246541055,5.042695370019806e-4,421,90
Spillover,R3 30-45 min (near control),lP1,1951,1971,0.1026925892005496,0.0457471324067636,0.013028209683292949,0.19235696871780628,0.025353423631632076,320,90
Spillover,R4 45-60 min (control),lP1,1951,1971,1.3596067357688382e-4,0.07016359300361559,-0.13738468161350967,0.13765660296066343,0.9984557897462201,135,90
Spillover,R1 0-15 min (donut),lP1,1951,1981,0.5000942313965824,0.0908185487932813,0.322089875761751,0.6780985870314138,9.913227202474082e-8,159,90
Spillover,R2 15-30 min (donut),lP1,1951,1981,0.3794424306536023,0.09458807942846723,0.19404979497380653,0.5648350663333981,6.983136293518755e-5,421,90
Spillover,R3 30-45 min (near control),lP1,1951,1981,0.20001082186200939,0.06744854899507509,0.0678116658316622,0.33220997789235657,0.0032128614582544873,320,90
Spillover,R4 45-60 min (control),lP1,1951,1981,0.04336441533263624,0.09836454281413962,-0.1494300885830774,0.2361589192483499,0.6597877292647958,135,90
Spillover,R1 0-15 min (donut),lP1,1951,1991,0.6036050519201136,0.11239797843152616,0.38330501419432234,0.8239050896459048,1.9490072684225162e-7,159,90
Spillover,R2 15-30 min (donut),lP1,1951,1991,0.49223405606856435,0.11309807481357129,0.2705618294339647,0.713906282703164,1.643429350922026e-5,421,90
Spillover,R3 30-45 min (near control),lP1,1951,1991,0.2819736269981021,0.08385234629539426,0.11762302825912935,0.4463242257370748,8.497288049973104e-4,320,90
Spillover,R4 45-60 min (control),lP1,1951,1991,0.08093333887910957,0.11657813671243154,-0.14755980907725624,0.3094264868354754,0.4883247217775373,135,90
A,R0 inner (casello),lUT,1951,1961,0.17414362833448985,0.05580765972854878,0.06476061526653425,0.28352664140244543,0.0024055438872839854,19,90
A,R0 inner (casello),lUT,1951,1971,0.3807373717281232,0.06594818575758114,0.2514789276432642,0.5099958158129823,1.0190535018703521e-7,19,90
A,R0 inner (casello),lUT,1951,1981,0.5441651705447489,0.13097870415103288,0.28744691040872444,0.8008834306807733,7.230933068563246e-5,19,90
A,R0 inner (casello),lUT,1951,1991,0.6091567857856813,0.13978317966572243,0.3351817536408654,0.8831318179304972,3.3821796252493526e-5,19,90
B,R0 inner (casello),lUT,1961,1971,0.20135809220194095,0.08783684499517856,0.029197876011390983,0.3735183083924909,0.023820071458365465,34,90
B,R0 inner (casello),lUT,1961,1981,0.3702628828582316,0.1311035443850862,0.11329993586346265,0.6272258298530006,0.005645858839837401,34,90
B,R0 inner (casello),lUT,1961,1991,0.7272326256515432,0.10413333780632733,0.5231312835511417,0.9313339677519448,2.453952214438018e-10,34,90
B,R0 inner (casello),lUT,1961,1951,-0.10318186298931062,0.06108824326615729,-0.2229148197909789,0.01655109381235767,0.09409260193964243,34,90
