term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,outcome,sample
Em2,-0.060151649738121836,0.05718655012300369,-1.0518495976543514,0.2929222014335943,-0.17223728797920906,0.0519339885029654,-2,log Pop,tight (n_ctrl=1141)
E0,0.12985525618042743,0.03831751233633797,3.388927105721336,7.073935077507532e-4,0.05475293200120501,0.20495758035964984,0,log Pop,tight (n_ctrl=1141)
E1,0.23640592212487693,0.05119354154737816,4.617885674232755,3.979331530160601e-6,0.13606658069201574,0.33674526355773815,1,log Pop,tight (n_ctrl=1141)
E2,0.2270550612971995,0.07207516423918138,3.1502538175801784,0.0016414443161218743,0.08578773938840398,0.368322383205995,2,log Pop,tight (n_ctrl=1141)
E3,0.22271219927308564,0.09885145749577466,2.2529986397277484,0.024304790069499375,0.02896334258136732,0.416461055964804,3,log Pop,tight (n_ctrl=1141)
ref,0,NA,NA,NA,0,0,-1,log Pop,tight (n_ctrl=1141)
Em2,0.002305138868955795,0.05140355776048009,0.04484395573739886,0.9642335685718981,-0.09844583434158519,0.10305611207949678,-2,log Units,tight (n_ctrl=1141)
E0,0.13066272108989674,0.042421678091704156,3.0800931732931307,0.002081156904943916,0.04751623203015659,0.21380921014963689,0,log Units,tight (n_ctrl=1141)
E1,0.1944669340966674,0.0633287878104328,3.070750930505429,0.0021472507351813644,0.07034250998821912,0.3185913582051157,1,log Units,tight (n_ctrl=1141)
E2,0.3455047273300701,0.11394939115260286,3.0320892795939964,0.002441745526779314,0.12216392067096848,0.5688455339891717,2,log Units,tight (n_ctrl=1141)
E3,0.2442671374668058,0.09517441905629254,2.5665209190542035,0.010302734323694648,0.057725276116472435,0.4308089988171392,3,log Units,tight (n_ctrl=1141)
ref,0,NA,NA,NA,0,0,-1,log Units,tight (n_ctrl=1141)
Em2,-0.04016288177838673,0.09967940812363532,-0.40292054833001734,0.6870247580742725,-0.23553452170071196,0.1552087581439385,-2,log Emp,tight (n_ctrl=1141)
E0,0.23113711396044218,0.08051551493977875,2.870715217226397,0.004113501185154549,0.07332670467847582,0.38894752324240855,0,log Emp,tight (n_ctrl=1141)
E1,0.2903876153649395,0.11786346574915539,2.4637627403809854,0.013783793452309897,0.05937522249659494,0.5214000082332841,1,log Emp,tight (n_ctrl=1141)
E2,0.3907919418969837,0.10173643131869374,3.84121928429759,1.2401624361455083e-4,0.19138853651234397,0.5901953472816234,2,log Emp,tight (n_ctrl=1141)
E3,0.2650586816505864,0.10017638069547478,2.645919924541252,0.008173689134065756,0.06871297548745581,0.46140438781371695,3,log Emp,tight (n_ctrl=1141)
ref,0,NA,NA,NA,0,0,-1,log Emp,tight (n_ctrl=1141)
Em2,-0.09893171845600114,0.062204332821595744,-1.5904313086958244,0.1118678034033937,-0.2208522107863288,0.022988773874326518,-2,log Pop,donut30 (n_ctrl=554)
E0,0.1760001445702863,0.04564904207472977,3.8555057580872174,1.1849069815725015e-4,0.08652802210381594,0.26547226703675664,0,log Pop,donut30 (n_ctrl=554)
E1,0.3265864249834033,0.06495934685143112,5.027550934746017,5.330340464603338e-7,0.1992661051545983,0.4539067448122083,1,log Pop,donut30 (n_ctrl=554)
E2,0.3520157376872476,0.08832004685035931,3.9856833215189296,6.92705084996006e-5,0.17890844586054333,0.5251230295139518,2,log Pop,donut30 (n_ctrl=554)
E3,0.3848050853321547,0.11923669760755702,3.227237025623279,0.0012665535461526124,0.1511011580213429,0.6185090126429664,3,log Pop,donut30 (n_ctrl=554)
ref,0,NA,NA,NA,0,0,-1,log Pop,donut30 (n_ctrl=554)
Em2,-0.022680138990698238,0.06000728470216711,-0.3779564281781136,0.7054957979448526,-0.14029441700694578,0.0949341390255493,-2,log Units,donut30 (n_ctrl=554)
E0,0.15227469486407993,0.04898915312154679,3.108334910102892,0.0019031083187115608,0.05625595474584823,0.24829343498231166,0,log Units,donut30 (n_ctrl=554)
E1,0.247179921882839,0.07646074305973508,3.2327690261881092,0.0012422851909182802,0.09731686548575824,0.39704297827991974,1,log Units,donut30 (n_ctrl=554)
