cohort,pre,post,outcome,estimate,se,lo,hi,p,n_tr,n_ct,event_time
A (post-1961),1951,1961,lP1,0.17741107538924678,0.04054058218826589,0.09795153430024564,0.25687061647824794,1.4481984481288062e-5,19,561,0
A (post-1961),1951,1971,lP1,0.41248939912578386,0.09234453585696288,0.2314941088461366,0.5934846894054311,9.656030308094727e-6,19,561,1
A (post-1961),1951,1981,lP1,0.43882873108945447,0.13445765271559432,0.1752917317668896,0.7023657304120193,0.001168632164579196,19,561,2
A (post-1961),1951,1991,lP1,0.4180756457635502,0.1637024655090126,0.0972188133658855,0.738932478161215,0.010924120694883924,19,561,3
B (post-1971),1961,1971,lP1,0.22082816370472283,0.04165525689145129,0.1391838601974783,0.30247246721196736,1.6385125044809574e-7,34,561,0
B (post-1971),1961,1981,lP1,0.32711593013086165,0.04301956881431697,0.2427975752548004,0.4114342850069229,1.169434259958142e-13,34,561,1
B (post-1971),1961,1991,lP1,0.33755500773347474,0.047223295042100356,0.24499734945095805,0.4301126660159914,2.667238928333911e-12,34,561,2
A (post-1961),1951,1961,lUT,0.1341642064856806,0.03618974083916678,0.06323231444091369,0.20509609853044747,2.302890813237269e-4,19,561,0
A (post-1961),1951,1971,lUT,0.2562855759884869,0.06931087454203023,0.12043626188610762,0.39213489009086616,2.3897403174186842e-4,19,561,1
A (post-1961),1951,1981,lUT,0.2933742327499296,0.15246181104856452,-0.005450916905256897,0.592199382405116,0.054828196770139566,19,561,2
A (post-1961),1951,1991,lUT,0.3029263308052215,0.1490605690412327,0.010767615484405468,0.5950850461260375,0.04259944472968484,19,561,3
B (post-1971),1961,1971,lUT,0.1365305518615358,0.045447934010203646,0.047452601201536646,0.22560850252153491,0.002779140100369886,34,561,0
B (post-1971),1961,1981,lUT,0.18886248456328023,0.06513447959984224,0.061198904547589444,0.31652606457897103,0.0038788760756163316,34,561,1
B (post-1971),1961,1991,lUT,0.4711050639401603,0.134994647799004,0.20651555425411244,0.7356945736262082,5.202703613667422e-4,34,561,2
A (post-1961),1951,1961,lAT,0.34429819829826097,0.062347047941516284,0.22209798433288908,0.46649841226363287,5.120239744171875e-8,19,561,0
A (post-1961),1951,1971,lAT,0.5093642988215941,0.07931770068872153,0.3539016054716999,0.6648269921714882,2.8691468440330037e-10,19,561,1
A (post-1961),1951,1981,lAT,0.4576727689478673,0.08424161228527868,0.2925592088687211,0.6227863290270135,8.271170016589077e-8,19,561,2
A (post-1961),1951,1991,lAT,0.4527695566405822,0.07760372248606806,0.3006662605678888,0.6048728527132756,9.12311959736128e-9,19,561,3
B (post-1971),1961,1971,lAT,0.22503740310476242,0.12288038816806827,-0.01580815770465141,0.4658829639141763,0.06756326405905845,34,561,0
B (post-1971),1961,1981,lAT,0.20936785483515283,0.14365648161657094,-0.07219884913332622,0.4909345588036319,0.14554444250318072,34,561,1
B (post-1971),1961,1991,lAT,0.4556470376040349,0.139305583322101,0.18260809429271696,0.7286859809153529,0.0011362171810690772,34,561,2
