outcome,event_time,att,se,n_pairs,lo,hi
lAT,0,0.24098441656458064,0.07507120262587527,2,0.0938448594178651,0.38812397371129614
lAT,1,0.2513924995332796,0.0859984062292809,2,0.08283562332388902,0.4199493757426701
lAT,2,0.3652719880600731,0.07703485133523452,2,0.21428367944301344,0.5162602966771328
lAT,3,0.23305691364827721,0.08958353531851786,1,0.05747318442398222,0.4086406428725722
lP1,0,0.17220809664709258,0.02690541054656026,2,0.11947349197583447,0.2249427013183507
lP1,1,0.2891006631162425,0.0336141620190623,2,0.22321690555888038,0.3549844206736046
lP1,2,0.28196439250238997,0.04146345571500003,2,0.2006960193009899,0.36323276570379004
lP1,3,0.2828408732467937,0.12240656696385685,1,0.04292400199763427,0.5227577444959531
lUT,0,0.12738081521408273,0.028469862771835074,2,0.071579884181286,0.18318174624687947
lUT,1,0.1885614572204889,0.03423950995453291,2,0.12145201770960438,0.2556708967313734
lUT,2,0.3371009406009625,0.0765382806289554,2,0.18708591056820995,0.4871159706337151
lUT,3,0.19774338458829344,0.08877040983381049,1,0.02375338131402488,0.371733387862562
