term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,outcome
W2x_1951,0.0025650093594100022,4.7239894371047e-4,5.4297525292141176,5.926457058649667e-8,0.001639107429737481,0.0034909112890825237,1951,log Population
W2x_1971,-0.004335706548614423,5.250202199755529e-4,-8.258170606869792,1.9019806695192409e-16,-0.0053647461797665065,-0.0033066669174623394,1971,log Population
W2x_1981,-0.007500934918755917,8.32306128772448e-4,-9.01223078799011,2.87754141627563e-19,-0.009132254931149915,-0.005869614906361918,1981,log Population
W2x_1991,-0.009723205881842178,0.0011857375409922795,-8.200133288944663,3.066355649645005e-16,-0.012047251462187046,-0.00739916030149731,1991,log Population
W2x_1951,0.001954373987900607,9.778366893141524e-4,1.9986711577281793,0.04570095674984184,3.7814076844868306e-5,0.0038709338989563456,1951,log Local units
W2x_1971,-0.0020239134172539766,0.00063970507849722105,-3.1638226509136094,0.0015669629131579484,-0.0032777353711085297,-7.700914633994233e-4,1971,log Local units
W2x_1981,-0.0052179139369065534,0.0011201888335551132,-4.658066372922679,3.2792898042636085e-6,-0.007413484050674575,-0.0030223438231385315,1981,log Local units
W2x_1991,-0.008711045870646028,0.0010075273055033026,-8.645965050341232,7.197778401023116e-18,-0.010685799389432501,-0.006736292351859555,1991,log Local units
W2x_1951,0.003772926554363731,0.0010492515888554995,3.5958263913416193,3.266563240893411e-4,0.0017163934402069521,0.00582945966852051,1951,log Employees
W2x_1971,-0.005815873815650236,0.0012572683036082394,-4.625801667757976,3.83092928306434e-6,-0.008280119690722385,-0.0033516279405780866,1971,log Employees
W2x_1981,-0.009537701383048146,0.00110479835870157,-8.632979319644777,8.049942834462575e-18,-0.011703106166103223,-0.0073722965999930695,1981,log Employees
W2x_1991,-0.011611239922695872,0.0010033878519861567,-11.572035578975763,1.4653174543881639e-30,-0.01357788011258874,-0.009644599732803004,1991,log Employees
